199,Indian Institute of Technology Ropar,"Mechanical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,24,2,7,0,10,0,4,1,18,1,67,67,16
200,Indian Institute of Technology Ropar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,9,0,2,0,3,0,2,0,5,1,22,27,1
201,Indian Institute of Technology (BHU) Varanasi,"Ceramic Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,23,2,6,0,9,1,4,0,15,1,61,75,0
202,Indian Institute of Technology (BHU) Varanasi,"Chemical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,48,2,12,1,18,0,9,1,32,1,124,156,0
203,Indian Institute of Technology (BHU) Varanasi,"Civil Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,37,2,9,1,14,1,7,0,25,2,98,110,10
204,Indian Institute of Technology (BHU) Varanasi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,31,2,7,0,11,1,6,1,20,1,80,89,10
205,Indian Institute of Technology (BHU) Varanasi,"Electrical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,35,2,9,0,13,1,6,0,24,2,92,108,7
206,Indian Institute of Technology (BHU) Varanasi,"Electronics Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,41,2,10,1,15,0,7,1,27,1,105,123,10
207,Indian Institute of Technology (BHU) Varanasi,"Mechanical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,46,2,11,1,17,1,9,0,30,1,118,136,12
208,Indian Institute of Technology (BHU) Varanasi,"Metallurgical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,33,2,8,0,12,1,6,0,22,1,85,102,4
209,Indian Institute of Technology (BHU) Varanasi,"Mining Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,42,0,11,0,16,0,7,0,29,0,105,123,8
210,Indian Institute of Technology (BHU) Varanasi,"Pharmaceutical Engineering & Technology (4 Years, Bachelor of Technology)",All India,Gender-Neutral,25,2,6,0,9,1,5,0,16,1,65,80,0
211,Indian Institute of Technology (BHU) Varanasi,"Architecture (5 Years, Bachelor of Architecture)",All India,Gender-Neutral,8,1,2,0,3,0,2,0,5,0,21,26,0
212,Indian Institute of Technology (BHU) Varanasi,"Biochemical Engineering with M.Tech. in Biochemical Engineering and Biotechnology (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Gender-Neutral,7,1,2,0,3,0,2,0,5,1,21,25,0
213,Indian Institute of Technology (BHU) Varanasi,"Bioengineering with M.Tech in Biomedical Technology (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Gender-Neutral,6,1,2,0,2,1,1,0,4,0,17,20,1
214,Indian Institute of Technology (BHU) Varanasi,"Ceramic Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Gender-Neutral,6,0,2,0,2,0,1,0,4,1,16,18,2
215,Indian Institute of Technology (BHU) Varanasi,"Civil Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Gender-Neutral,10,0,2,0,3,1,2,0,6,0,24,28,2
216,Indian Institute of Technology (BHU) Varanasi,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Gender-Neutral,10,0,2,0,4,0,2,0,7,1,26,31,3
